,Aired,Duration,English,Episodes,Genres,Jap,Licensors,Producers,Ranked,Rating,Score,Source,Type
1533," Oct 5, 2018 to ?", Unknown,nan, 12,"Comedy, Shoujo Ai, Slice of Life", うちのメイドがウザすぎる！,"    None found, add some ",Kadokawa ,  #1534, PG-13 - Teens 13 or older,7.561 , Manga,TV
1534," Feb 18, 1992 to Feb 2, 1993", 25 min. per ep., Tekkaman Blade, 49,"Action, Adventure, Space, Mecha, Romance, Military, Drama, Sci-Fi, Shounen", 宇宙の騎士テッカマンブレード,Media Blasters ,"Sotsu,       Studio Jack ",  #1535, R - 17+ (violence & profanity),7.551 , Original,TV
1535," Jul 7, 2008 to Sep 22, 2008", 24 min. per ep., The Familiar of Zero: Rondo of Princesses, 12,"Action, Adventure, Harem, Comedy, Magic, Romance, Ecchi, Fantasy, School", ゼロの使い魔 ～三美姫（プリンセッセ）の輪舞（ロンド）～,Sentai Filmworks ,"    None found, add some ",  #1536, PG-13 - Teens 13 or older,7.551 , Light novel,TV
1536," Oct 8, 2004 to Apr 1, 2005", 24 min. per ep.,nan, 26,"Action, Military, Sci-Fi, Historical, Drama, Seinen", ジパング,Geneon Entertainment USA ,"Marvelous,       TBS ",  #1537, PG-13 - Teens 13 or older,7.551 , Manga,TV
1537," Jan 13, 2006 to Mar 24, 2006", 23 min. per ep.,nan, 11,"Mystery, Historical, Horror, Fantasy", 怪～ayakashi～ Japanese Classic Horror,Geneon Entertainment USA ,"Dentsu,       SKY Perfect Well Think,       Fuji TV,       Asmik Ace,       Sony Music Entertainment ",  #1538, R - 17+ (violence & profanity),7.541 , Other,TV
1538," Nov 26, 2011", 20 min.,nan, 1,"Comedy, Supernatural", カーニバル・ファンタズム　EX Season,"    None found, add some ",Notes ,  #1539, PG-13 - Teens 13 or older,7.541 , Unknown,OVA
1539," Jul 16, 2012", 51 min., Code Geass: Akito the Exiled - The Wyvern Arrives, 1,"Action, Mecha, Military, Sci-Fi", コードギアス 亡国のアキト 第１章「翼竜は舞い降りた」,Funimation ,"Bandai Visual,       Bandai,       Bandai Namco Entertainment,       Hakuhodo DY Media Partners ",  #1540, R - 17+ (violence & profanity),7.541 , Original,Movie
1540," Mar 6, 1993", 1 hr. 10 min., Dragon Ball Z: Broly – The Legendary Super Saiyan, 1,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Shounen", ドラゴンボールZ 燃えつきろ!!熱戦・烈戦・超激戦,Funimation ,"    None found, add some ",  #1541, PG-13 - Teens 13 or older,7.541 , Manga,Movie
1541," Nov 24, 2006 to May 23, 2008", 27 min. per ep., Freedom, 7,"Action, Sci-Fi, Adventure, Space", FREEDOM,"Bandai Entertainment,       Discotek Media,       NYAV Post,       Bandai Visual USA ","Bandai Visual,       Dentsu ",  #1542, PG-13 - Teens 13 or older,7.541 , Original,OVA
1542," Sep 6, 2014", 59 min., Ghost in the Shell: Arise - Border 4: Ghost Stands Alone, 1,"Mecha, Police, Psychological, Sci-Fi", 攻殻機動隊ARISE -GHOST IN THE SHELL- border:4 Ghost Stands Alone,Funimation ,Bandai Visual ,  #1543, R - 17+ (violence & profanity),7.541 , Manga,Movie
1543," Jan 6, 2013 to Mar 31, 2013", 24 min. per ep., Hakkenden -Eight Dogs of the East-, 13,"Action, Demons, Supernatural, Fantasy, Shoujo", 八犬伝 -東方八犬異聞-,Sentai Filmworks ,"Bandai Visual,       Frontier Works,       Lantis,       Movic,       DAX Production,       Sony PCL ",  #1544, PG-13 - Teens 13 or older,7.541 , Manga,TV
1544," Apr 17, 2018 to Jul 3, 2018", 23 min. per ep.,nan, 12,"Action, Ecchi, Romance, Comedy, Harem, School, Demons", ハイスクールDxD HERO,Funimation ,AT-X ,  #1545, R+ - Mild Nudity,7.541 , Light novel,TV
1545, 2002, 28 min.,nan, 1,"Game, Comedy, Supernatural, Shounen", ヒカルの碁 特別編 - 裁きの一局! いにしえの華よ咲け!!,"    None found, add some ","    None found, add some ",  #1546, G - All Ages,7.541 , Manga,OVA
1546," Oct 2, 1992 to Dec 3, 1993", 23 min. per ep.,nan, 61,"Comedy, Fantasy, Magic, Romance, School, Shoujo", 姫ちゃんのリボン,"    None found, add some ",Nihon Ad Systems ,  #1547, PG - Children,7.541 , Manga,TV
1547," Oct 11, 2008", 1 hr. 30 min., Fist of the North Star: Legend of Kenshiro, 1,Martial Arts, 真救世主伝説 北斗の拳 ZERO ケンシロウ伝,"    None found, add some ","    None found, add some ",  #1548, R - 17+ (violence & profanity),7.541 , Unknown,Movie
1548," Nov 22, 1990 to Apr 23, 1992", 25 min. per ep., Mobile Police Patlabor: The New Files, 16,"Sci-Fi, Comedy, Police, Mecha", 機動警察パトレイバー　NEW OVA,"Central Park Media,       Maiden Japan ",Tohokushinsha Film Corporation ,  #1549, PG-13 - Teens 13 or older,7.541 , Original,OVA
1549," Sep 30, 2004 to Mar 31, 2005", 23 min. per ep., My-Hime, 26,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai", 舞-HiME,"Funimation,       Bandai Entertainment ","Bandai Visual,       TV Tokyo Music,       Studio Zain ",  #1550, PG-13 - Teens 13 or older,7.541 , Original,TV
1550," Jan 9, 2014 to Mar 27, 2014", 23 min. per ep., Engaged to the Unidentified, 12,"Slice of Life, Comedy, Romance, School", 未確認で進行形,Sentai Filmworks ,"Sotsu,       DAX Production,       TOHO animation,       RAY,       Ichijinsha ",  #1551, PG-13 - Teens 13 or older,7.541 , 4-koma manga,TV
1551," Dec 4, 2015", 37 min.,nan, 1,"Action, Adventure, Supernatural", NOBLESSE 파멸의 시작,"    None found, add some ","    None found, add some ",  #1552, R - 17+ (violence & profanity),7.541 , Web manga,OVA
1552," Apr 12, 2006 to Dec 6, 2006", 25 min. per ep.,nan, 26,"Adventure, Mecha, Sci-Fi, Shounen", オーバン・スターレーサーズ,"    None found, add some ",Sav! The World Productions ,  #1553, PG - Children,7.541 , Original,TV
1553," Nov 18, 2016", 1 hr. 3 min.,nan, 1,"Sci-Fi, Drama, Romance, School, Shoujo", orange －未来－,"    None found, add some ",TMS Entertainment ,  #1554, PG-13 - Teens 13 or older,7.541 , Manga,Movie
1554," Jan 29, 2016", 21 min., Mr. Osomatsu Episode 3.5: Virgin Heroes, 1,"Comedy, Parody", おそ松さん,"    None found, add some ",Avex Pictures ,  #1555, PG-13 - Teens 13 or older,7.541 , Manga,Special
1555," Feb 18, 2017 to Feb 25, 2017", 46 min. per ep.,nan, 2,"Adventure, Fantasy", 龍の歯医者,Sentai Filmworks ,"NHK,       Dwango ",  #1556, PG-13 - Teens 13 or older,7.541 , Original,Special
1556," Apr 6, 2009 to Sep 28, 2009", 24 min. per ep.,nan, 25,"Game, School, Slice of Life", 咲-Saki-,"    None found, add some ","TV Tokyo,       Square Enix,       Sotsu,       Lantis,       Pony Canyon,       KlockWorx,       TV Tokyo Music,       Kiyosumi High School Mahjong Club,       Sotsu Music Publishing ",  #1557, PG-13 - Teens 13 or older,7.541 , Manga,TV
1557," Apr 13, 2008 to May 3, 2008", 20 min. per ep., Legend of the Condor Hero III, 26,"Action, Adventure, Drama, Historical, Romance", 神鵰俠侶 III: 相約十六年,"    None found, add some ",Jade Animation ,  #1558, PG-13 - Teens 13 or older,7.541 , Unknown,TV
1558," Aug 8, 2012 to Sep 8, 2014", 24 min. per ep.,nan, 3,"Slice of Life, Comedy, Shounen", 侵略!!イカ娘,Sentai Filmworks ,"Lantis,       Glovision ",  #1559, PG-13 - Teens 13 or older,7.541 , Manga,OVA
1559," Jul 2, 2005 to Jun 24, 2006", 24 min. per ep., Sugar Sugar Rune, 51,"Fantasy, Magic, Shoujo", シュガシュガルーン,"    None found, add some ",TV Tokyo Music ,  #1560, PG - Children,7.541 , Manga,TV
1560," Oct 10, 1991 to Mar 26, 1992", 25 min. per ep.,nan, 26,"Kids, Slice of Life, Adventure, Fantasy", 楽しいムーミン一家 冒険日記,"    None found, add some ","TV Tokyo,       Telescreen BV ",  #1561, G - All Ages,7.541 , Book,TV
1561," Jun 28, 2012", 24 min.,nan, 1,"Music, Comedy, Drama", アイドルマスター 765プロという物語,"    None found, add some ",Aniplex ,  #1562, PG-13 - Teens 13 or older,7.541 , Game,Special
1562," May 28, 2014", 13 min. per ep.,nan, 2,"Comedy, School, Seinen", となりの関くん,"    None found, add some ",Media Factory ,  #1563, G - All Ages,7.541 , Manga,Special
1563," Oct 1, 2016 to Dec 24, 2016", 23 min. per ep., WWW.WAGNARIA!!, 13,"Slice of Life, Comedy", WWW.WORKING!!,"    None found, add some ","Aniplex,       Yomiuri Telecasting,       Lawson ",  #1564, PG-13 - Teens 13 or older,7.541 , Web manga,TV
1564," Jan 31, 2015", 1 hr. 45 min.,nan, 1,"Action, Sci-Fi, Seinen", 劇場版 蒼き鋼のアルペジオ -アルス・ノヴァ- DC,"    None found, add some ","Sotsu,       DAX Production ",  #1565, PG-13 - Teens 13 or older,7.531 , Manga,Movie
1565," Jul 8, 2006", 1 hr. 52 min., Brave Story, 1,"Action, Adventure, Fantasy, Kids, Magic, Supernatural", ブレイブ・ストーリー,"    None found, add some ","    None found, add some ",  #1566, G - All Ages,7.531 , Novel,Movie
1566," Jul 3, 2012 to Sep 25, 2012", 24 min. per ep., Utakoi, 13,"Comedy, Historical, Josei, Romance", 超訳百人一首 うた恋い。,"    None found, add some ","TV Tokyo,       Aniplex,       Nihon Ad Systems,       DAX Production ",  #1567, PG-13 - Teens 13 or older,7.531 , Manga,TV
1567," Jun 17, 1989", 1 hr. 27 min., City Hunter: .357 Magnum, 1,"Action, Comedy, Mystery, Shounen", シティーハンター 愛と宿命のマグナム,"    None found, add some ","    None found, add some ",  #1568, PG-13 - Teens 13 or older,7.531 , Manga,Movie
1568," Apr 23, 1999", 1 hr. 31 min.,nan, 1,Shounen, シティーハンタースペシャル 緊急生中継!?凶悪犯冴羽リョウの最期,"    None found, add some ","    None found, add some ",  #1569, PG-13 - Teens 13 or older,7.531 , Unknown,Special
1569," Apr 18, 2009", 20 min.,nan, 1,"Mystery, Shounen", 名探偵コナン Magic File 3 新一と蘭 麻雀牌と七夕の思い出,"    None found, add some ","    None found, add some ",  #1570, PG-13 - Teens 13 or older,7.531 , Unknown,OVA
1570," Mar 4, 2006", 1 hr. 47 min., Doraemon the Movie: Nobita's Dinosaur 2006, 1,"Adventure, Comedy, Kids", 映画 ドラえもん のび太の恐竜2006,"    None found, add some ","    None found, add some ",  #1571, PG - Children,7.531 , Unknown,Movie
1571," Jul 16, 1980 to Apr 1, 1981", 23 min. per ep.,nan, 35,"Action, Comedy, Shounen, Sports", がんばれ元気,"    None found, add some ",Fuji TV ,  #1572, PG-13 - Teens 13 or older,7.531 , Manga,TV
1572," Jan 12, 2018 to Mar 30, 2018", 23 min. per ep., Hakata Tonkotsu Ramens, 12,Action, 博多豚骨ラーメンズ,Funimation ,"Sotsu,       AT-X,       Warner Bros.,       KlockWorx,       ASCII Media Works,       Tokyo MX,       BS11 ",  #1573, R - 17+ (violence & profanity),7.531 , Novel,TV
1573," Apr 4, 2010 to Jun 20, 2010", 23 min. per ep., Hakuoki ~Demon of the Fleeting Blossom~, 12,"Action, Historical, Supernatural, Drama, Samurai, Josei", 薄桜鬼,Sentai Filmworks ,"    None found, add some ",  #1574, R - 17+ (violence & profanity),7.531 , Visual novel,TV
1574," Mar 11, 2006", 1 hr. 35 min., Fist of the North Star: Raoh Side Story Junai Arc, 1,"Action, Adventure, Martial Arts", 真救世主伝説 北斗の拳 ラオウ伝 殉愛の章,"    None found, add some ",North Stars Pictures ,  #1575, R - 17+ (violence & profanity),7.531 , Unknown,Movie
1575," Oct 8, 2017 to Dec 24, 2017", 23 min. per ep., A Sister's All You Need, 12,"Comedy, Romance", 妹さえいればいい。,Funimation ,"Bandai Visual,       Lantis,       Shochiku,       Bushiroad,       Hakuhodo DY Music & Pictures,       BS11,       Shogakukan ",  #1576, R+ - Mild Nudity,7.531 , Light novel,TV
1576," Jul 6, 2012 to Sep 28, 2012", 24 min. per ep., Joshiraku, 13,"Slice of Life, Comedy, Shounen", じょしらく,"    None found, add some ","Starchild Records,       Mainichi Broadcasting System,       Kodansha,       KlockWorx ",  #1577, PG-13 - Teens 13 or older,7.531 , Manga,TV
1577," Sep 28, 2013", 32 min., the Garden of sinners -recalled out summer- extra chorus, 1,"Drama, Mystery, Seinen, Supernatural", 劇場版 空の境界 未来福音 extra chorus,Aniplex of America ,"    None found, add some ",  #1578, R - 17+ (violence & profanity),7.531 , Manga,Special
1578," Apr 7, 2007 to Sep 29, 2007", 25 min. per ep.,nan, 26,"Historical, Drama, Shoujo", 風の少女エミリー,"    None found, add some ",NHK ,  #1579, G - All Ages,7.531 , Novel,TV
1579," Jul 2, 2016 to Sep 24, 2016", 24 min. per ep., Love Live! Sunshine!!, 13,"Music, Slice of Life, School", ラブライブ！サンシャイン!!,Funimation ,"Bandai Visual,       Lantis,       Magic Capsule,       ASCII Media Works,       Bushiroad ",  #1580, PG-13 - Teens 13 or older,7.531 , Other,TV
1580," Sep 29, 2012", 1 hr. 8 min., Mardock Scramble: The Third Exhaust, 1,"Action, Psychological, Sci-Fi", マルドゥック・スクランブル 第3部 排気,Sentai Filmworks ,"Aniplex,       Starchild Records ",  #1581, R+ - Mild Nudity,7.531 , Novel,Movie
1581," Jan 1, 2014", 4 min. per ep., Mekakucity V's, 4,"Music, Super Power, Supernatural, Romance", Mekakucity V's,"    None found, add some ","    None found, add some ",  #1582, PG-13 - Teens 13 or older,7.531 , Music,  Music
1582," Jul 31, 2010", 1 hr. 25 min.,nan, 1,"Action, Comedy, Martial Arts, Shounen, Super Power", 劇場版 NARUTO-ナルト-疾風伝 ザ・ロストタワー,Viz Media ,Toho ,  #1583, PG-13 - Teens 13 or older,7.531 , Manga,Movie
1583," Oct 10, 2014 to Dec 19, 2014", 23 min. per ep., Psycho-Pass 2, 11,"Action, Sci-Fi, Police, Psychological", PSYCHO-PASS サイコパス 2,Funimation ,"Production I.G,       Dentsu,       Fuji TV,       Nitroplus,       Sony Music Entertainment,       TOHO animation,       Kyoraku Industrial Holdings ",  #1584, R - 17+ (violence & profanity),7.531 , Original,TV
1584," Oct 8, 2004 to Dec 24, 2004", 24 min. per ep., Rozen Maiden, 12,"Action, Comedy, Drama, Magic, Seinen", ローゼンメイデン,"Sentai Filmworks,       Geneon Entertainment USA ","Mellow Head,       Pony Canyon,       TBS,       Memory-Tech,       Studio Jack ",  #1585, PG-13 - Teens 13 or older,7.531 , Manga,TV
1585," Oct 18, 2007 to Apr 4, 2008", 25 min. per ep., Ghost Hound, 22,"Mystery, Psychological, Sci-Fi, Supernatural", 神霊狩 GHOST HOUND,Sentai Filmworks ,"WOWOW,       Pony Canyon,       Showgate,       TYO,       Mag Garden ",  #1586, PG-13 - Teens 13 or older,7.531 , Original,TV
1586," Apr 3, 2006 to Sep 25, 2006", 24 min. per ep.,nan, 26,"Military, Drama, Magic, Romance, Fantasy, Shoujo Ai", シムーン,Media Blasters ,"Bandai Visual,       Sotsu,       TV Tokyo Music ",  #1587, PG-13 - Teens 13 or older,7.531 , Original,TV
1587," Nov 24, 2008", 27 min., Letter Bee: Light and Blue Night Fantasy, 1,"Adventure, Slice of Life, Supernatural, Fantasy, Shounen", テガミバチ 光と青の幻想夜話,"    None found, add some ","    None found, add some ",  #1588, PG-13 - Teens 13 or older,7.531 , Manga,Special
1588," Sep 26, 2010", 34 min.,nan, 1,"Action, Sci-Fi, Super Power", とある科学の超電磁砲 御坂さんはいま注目の的ですから,"    None found, add some ","Geneon Universal Entertainment,       Movic,       AT-X,       ASCII Media Works,       Project Railgun ",  #1589, PG-13 - Teens 13 or older,7.531 , Manga,OVA
1589," Mar 25, 2015", 26 min.,nan, 1,"Action, Harem, Comedy, Supernatural, Magic, Romance, Ecchi, Fantasy, School, Shounen", トリニティセブン 七つの大罪と七魔道士,"    None found, add some ",Avex Pictures ,  #1590, PG-13 - Teens 13 or older,7.531 , Manga,OVA
1590," May 1, 2010", 1 hr. 40 min.,nan, 1,"Mystery, Drama, Romance, School", 劇場版“文学少女”,"    None found, add some ","Lantis,       Pony Canyon,       Enterbrain,       Kadokawa Contents Gate,       T.O Entertainment ",  #1591, PG-13 - Teens 13 or older,7.521 , Light novel,Movie
1591," Apr 3, 2002 to Sep 25, 2002", 24 min. per ep., Chobits, 26,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen", ちょびっツ,"Funimation,       Geneon Entertainment USA ","TBS,       Pioneer LDC ",  #1592, PG-13 - Teens 13 or older,7.521 , Manga,TV
1592," Jun 4, 1977 to Mar 25, 1978", 23 min. per ep.,nan, 40,"Action, Adventure, Mecha, Drama, Sci-Fi, Shounen", 超電磁マシーン ボルテスV,Discotek Media ,TV Asahi ,  #1593, PG-13 - Teens 13 or older,7.521 , Original,TV
1593," Aug 22, 2015", 1 hr. 12 min.,nan, 1,"Harem, Romance, Sci-Fi", 劇場版 デート・ア・ライブ 万由里ジャッジメント,"    None found, add some ","    None found, add some ",  #1594, PG-13 - Teens 13 or older,7.521 , Light novel,Movie
1594," Feb 25, 2017", 1 hr. 22 min., Digimon Adventure tri. Loss, 1,"Action, Adventure, Comedy, Drama", デジモンアドベンチャーtri.（トライ）第４章「喪失」,Shout! Factory ,Sonilude ,  #1595, PG-13 - Teens 13 or older,7.521 , Original,Movie
1595," Mar 8, 2008", 1 hr. 52 min., Doraemon the Movie: Nobita and the Green Giant Legend, 1,"Adventure, Comedy, Fantasy, Kids, Shounen", 映画 ドラえもん のび太と緑の巨人伝,"    None found, add some ",TV Asahi ,  #1596, PG - Children,7.521 , Unknown,Movie
1596," Jan 23, 2010", 1 hr. 40 min., Fate/stay night: Unlimited Blade Works, 1,"Action, Fantasy, Magic, Supernatural", 劇場版 Fate/stay night UNLIMITED BLADE WORKS,Sentai Filmworks ,"Geneon Universal Entertainment,       Frontier Works,       TBS,       KlockWorx,       Notes,       CREi ",  #1597, PG-13 - Teens 13 or older,7.521 , Visual novel,Movie
1597," Sep 10, 1995 to Sep 1, 1996", 25 min. per ep., Neighborhood Stories, 50,"Slice of Life, Comedy, Drama, Romance, Shoujo", ご近所物語,"    None found, add some ","    None found, add some ",  #1598, PG-13 - Teens 13 or older,7.521 , Manga,TV
1598," Feb 25, 2009 to Aug 21, 2009", 30 min. per ep., When They Cry: Rei, 5,"Mystery, Comedy, Psychological, Supernatural, Thriller", ひぐらしのなく頃に礼,Sentai Filmworks ,"Geneon Universal Entertainment,       Frontier Works,       Sotsu,       Movic ",  #1599, PG-13 - Teens 13 or older,7.521 , Visual novel,OVA
1599," Feb 13, 1999 to Jan 29, 2000", 24 min. per ep.,nan, 44,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo", 神風怪盗ジャンヌ,"    None found, add some ","    None found, add some ",  #1600, PG-13 - Teens 13 or older,7.521 , Manga,TV
1600," Jul 5, 2009 to Jun 26, 2010", 2 min. per ep.,nan, 50,"Comedy, Slice of Life", くるねこ,"    None found, add some ","Kadokawa Pictures Japan,       Kansai Telecasting,       Tokai Television ",  #1601, G - All Ages,7.521 , Manga,TV
1601," Jan 11, 2011 to Apr 5, 2011", 24 min. per ep., Level E, 13,"Sci-Fi, Comedy, Shounen", レベルE,Funimation ,"Aniplex,       TV Tokyo Music,       Sony Music Entertainment,       Sakura Create ",  #1602, R - 17+ (violence & profanity),7.521 , Manga,TV
